freq,unit,request,leg_prov,partner,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,NR,REQ,TOTAL,TOTAL,AT	2577 	2142 	2313 	3181 	2398 	4560 	5022 	5531 	6295 	5655 
A,NR,REQ,TOTAL,TOTAL,BE	1463 	1736 	3381 	5441 	3940 	2166 	2587 	4220 	3871 	3170 
A,NR,REQ,TOTAL,TOTAL,BG	208 	219 	315 	1164 	6884 	8131 	10386 	7921 	3451 	3088 
A,NR,REQ,TOTAL,TOTAL,CH	1211 	1611 	2342 	3672 	4041 	3072 	3891 	5730 	6054 	4908 
A,NR,REQ,TOTAL,TOTAL,CY	74 	95 	234 	362 	: 	181 	162 	93 	85 	: 
A,NR,REQ,TOTAL,TOTAL,CZ	: 	375 	312 	: 	: 	: 	: 	2010 	: 	: 
A,NR,REQ,TOTAL,TOTAL,DE	3303 	3265 	3740 	4532 	5535 	11781 	31514 	26927 	25005 	23710 
A,NR,REQ,TOTAL,TOTAL,DK	410 	568 	742 	: 	1551 	1474 	2102 	2930 	2786 	2337 
A,NR,REQ,TOTAL,TOTAL,EE	50 	39 	71 	57 	117 	160 	175 	210 	165 	169 
A,NR,REQ,TOTAL,TOTAL,EL	6819 	495 	74 	61 	58 	137 	5787 	2549 	8807 	13382 
A,NR,REQ,TOTAL,TOTAL,ES	1170 	1699 	2510 	2744 	: 	: 	6111 	5745 	10762 	7089 
A,NR,REQ,TOTAL,TOTAL,EU27_2020	: 	: 	: 	: 	: 	: 	183345 	128673 	142610 	132940 
A,NR,REQ,TOTAL,TOTAL,EU28	: 	: 	: 	: 	: 	74907 	185138 	130810 	144550 	135176 
A,NR,REQ,TOTAL,TOTAL,FI	333 	453 	485 	377 	375 	365 	1368 	2701 	1881 	1351 
A,NR,REQ,TOTAL,TOTAL,FR	2160 	2472 	2417 	3426 	5619 	4634 	4765 	7920 	8744 	10668 
A,NR,REQ,TOTAL,TOTAL,HR	: 	: 	: 	51 	230 	943 	: 	871 	1013 	1681 
A,NR,REQ,TOTAL,TOTAL,HU	2047 	1718 	1433 	7756 	7930 	: 	26740 	6805 	2644 	1694 
A,NR,REQ,TOTAL,TOTAL,IE	198 	239 	245 	209 	202 	149 	206 	319 	311 	206 
A,NR,REQ,TOTAL,TOTAL,IS	15 	2 	0 	9 	3 	1 	: 	51 	49 	: 
A,NR,REQ,TOTAL,TOTAL,IT	6802 	11498 	12358 	15532 	22754 	24990 	64844 	26627 	41911 	34921 
A,NR,REQ,TOTAL,TOTAL,LI	: 	0 	8 	6 	6 	4 	3 	2 	29 	34 
A,NR,REQ,TOTAL,TOTAL,LT	490 	482 	562 	453 	: 	909 	1322 	1851 	1140 	991 
A,NR,REQ,TOTAL,TOTAL,LU	96 	117 	254 	237 	230 	155 	297 	485 	489 	487 
A,NR,REQ,TOTAL,TOTAL,LV	48 	177 	304 	155 	256 	223 	445 	778 	583 	545 
A,NR,REQ,TOTAL,TOTAL,MT	1186 	859 	857 	1157 	977 	433 	352 	569 	721 	808 
A,NR,REQ,TOTAL,TOTAL,NL	1189 	2605 	: 	: 	1630 	1675 	3384 	4627 	5042 	5693 
A,NR,REQ,TOTAL,TOTAL,NO	1998 	2015 	1987 	1860 	2180 	1569 	3715 	3454 	2028 	1226 
A,NR,REQ,TOTAL,TOTAL,PL	4836 	3465 	4725 	10599 	6600 	6214 	9649 	5421 	4314 	4023 
A,NR,REQ,TOTAL,TOTAL,PT	42 	155 	176 	277 	291 	279 	: 	1451 	1530 	1936 
A,NR,REQ,TOTAL,TOTAL,RO	356 	669 	1328 	711 	630 	569 	473 	2691 	1860 	1327 
A,NR,REQ,TOTAL,TOTAL,SE	2490 	2955 	3346 	3468 	2369 	2420 	4587 	6321 	7188 	5960 
A,NR,REQ,TOTAL,TOTAL,SI	232 	182 	162 	252 	208 	916 	862 	742 	1546 	1710 
A,NR,REQ,TOTAL,TOTAL,SK	528 	399 	509 	566 	425 	270 	205 	358 	466 	339 
A,NR,REQ,TOTAL,TOTAL,TOTAL	: 	: 	: 	: 	: 	79553 	192747 	140047 	152710 	141344 
A,NR,REQ,TOTAL,TOTAL,UK	980 	929 	1992 	1452 	541 	1173 	1793 	2137 	1940 	2236 
